0, -126.18084 -8.091476 0. -155.742874 -185.805283 -255.689926 139.559921 187.899323 200.339447 -82.139893 -38.537994 -5.512604 110.651321 38.328674 67.394058 621.519897 209.279221 0. 200.934464 -40.576157 200.501816 217.623978 -10.21402 250.689835 -220.343323 -640.707214 -1042.828003 -208.075241 -616.518616 -940.800232 101.141357 28.649658 0. 47.800293 -16.237793 -149.285645 9.499268 -14.915283 -147.586182 -13.667725 -14.355225 30.339111 -39.61084 -121.19043 -46.212402;
1, -117.959702 -8.36187 0. -155.929337 -183.61293 -256.38385 139.205597 187.827942 198.484436 -91.541901 -44.085838 -9.951706 101.571648 31.533089 67.458435 615.882202 209.788559 0. 201.571945 -28.814468 203.96257 218.005173 -7.951004 252.412582 -212.265869 -632.319031 -1034.557007 -201.351761 -609.4021 -930.708984 92.950684 24.394775 0. 44.592773 -25.646484 -150.127197 4.197021 -19.851318 -153.960693 -16.119629 -15.369385 30.421875 -41.166748 -126.806641 -48.117188;
2, -123.175598 -8.184959 0. -155.376144 -182.966782 -253.935623 139.006226 191.86911 202.586105 -85.950424 -41.061066 -7.716187 107.053352 35.877472 70.373856 619.900513 210.02211 0. 201.857407 -27.482567 204.1754 218.186783 -7.696426 253.862106 -214.865005 -635.264771 -1038.696777 -204.118484 -611.577393 -926.962097 84.010498 22.61084 0. 45.435059 -24.569824 -146.341064 -0.213623 -12.906738 -148.424805 -10.078857 -10.49707 24.107178 -36.495605 -124.179199 -47.137207;
3, -119.873833 -7.62252 0. -155.684692 -188.621246 -261.286133 140.439636 198.059189 202.29126 -88.147667 -40.003479 -9.948074 104.36396 33.166843 69.632721 621.204773 209.915497 0. 202.892029 -25.948181 208.794586 216.938995 -6.362991 250.831116 -216.69928 -636.551575 -1038.827881 -206.02066 -614.207275 -935.648315 93.863037 23.911865 0. 38.946533 -25.395508 -148.698975 8.876953 -12.718994 -148.379883 -12.230469 -21.964844 25.817139 -42.08252 -126.354248 -48.840088;
4, -121.450218 -7.315666 0. -155.90451 -194.317688 -267.337219 141.273163 204.488739 203.380371 -87.438469 -34.21212 -8.313362 106.212311 41.164539 67.738525 624.890747 209.84584 0. 203.705704 -27.927513 208.006485 215.986008 -6.416916 246.637894 -218.899139 -638.232727 -1041.334229 -209.713104 -618.432007 -940.636475 90.93042 24.704834 0. 33.352295 -26.211182 -150.236328 16.057373 -11.325439 -151.55957 -17.8396 -20.740723 23.771484 -37.503662 -123.983887 -56.021484;
5, -120.282539 -7.561058 0. -156.256699 -204.781296 -272.069214 141.134583 207.324554 203.30983 -89.91745 -36.29422 -5.378113 104.422165 43.600292 66.372345 617.798889 210.336472 0. 204.199112 -23.514862 212.937027 216.473831 1.360977 248.739487 -209.573151 -628.737244 -1029.255981 -201.542419 -610.659973 -938.832153 73.489746 19.358154 0. 28.38208 -23.454346 -145.58374 10.333984 -10.107178 -155.614258 -20.414795 -31.173584 28.785645 -31.724854 -119.447021 -60.036377;
6, -119.577698 -7.82943 0. -156.703705 -210.210907 -276.100891 141.044861 205.869263 203.507385 -91.073509 -35.793968 -5.817841 103.405792 43.687473 64.681 621.903198 209.974899 0. 203.800766 -24.927231 211.418503 216.149002 -0.548523 247.343948 -215.054688 -633.798218 -1033.780151 -207.027618 -614.711182 -944.807739 73.875732 22.926758 0. 29.229492 -23.44751 -139.957764 16.624268 -11.519775 -149.823242 -12.572998 -30.050537 35.038818 -24.375732 -119.096436 -53.666748;
7, -120.826965 -5.922539 0. -154.824402 -209.101593 -274.486298 142.97934 211.150497 209.970917 -86.388382 -34.335831 -1.295082 108.324585 47.974709 65.464699 625.249451 209.910645 0. 204.87793 -28.925659 207.494751 214.943329 1.134415 254.318268 -217.936371 -637.324341 -1038.17688 -209.861237 -619.056946 -948.434448 80.474121 24.24707 0. 31.671875 -25.589111 -138.476318 16.822266 -9.383301 -139.616211 -20.258301 -27.402588 30.857666 -28.501465 -115.929443 -57.844727;
8, -115.847557 -6.216652 0. -154.968353 -209.845795 -279.659607 142.535049 209.775269 206.906464 -91.650459 -35.440872 -1.367676 103.098579 44.241081 66.71154 619.722412 209.815796 0. 204.23587 -26.388397 205.806732 215.395721 0.706116 254.616028 -211.032959 -629.545288 -1028.581055 -204.450684 -613.754761 -953.253235 82.537842 25.162354 0. 34.961914 -26.305908 -145.21875 15.362793 -16.809326 -142.049072 -18.001221 -35.328125 33.535645 -27.711914 -115.900635 -53.214844;
9, -115.847557 -6.216652 0. -154.968353 -209.845795 -279.659607 142.535049 209.775269 206.906464 -91.650459 -35.440872 -1.367676 103.098579 44.241081 66.71154 619.722412 209.815796 0. 204.23587 -26.388397 205.806732 215.395721 0.706116 254.616028 -211.032959 -629.545288 -1028.581055 -204.450684 -613.754761 -953.253235 82.537842 25.162354 0. 34.961914 -26.305908 -145.21875 15.362793 -16.809326 -142.049072 -18.001221 -35.328125 33.535645 -27.711914 -115.900635 -53.214844;
