Date,Open,High,Low,Close,Volume,Adj Close
2015-02-02,70.44,72.62,69.04,72.28,2034300,72.28
2015-01-26,72.61,73.15,69.78,70.13,2508600,70.13
2015-01-20,71.79,74.40,70.37,74.06,1857500,74.06
2015-01-12,72.13,72.96,68.98,71.73,2116600,71.73
2015-01-05,72.21,73.13,69.88,71.84,2406300,71.84
2014-12-29,74.56,74.58,71.89,72.34,1553800,72.34
2014-12-22,74.38,75.17,74.29,74.67,2010500,74.67
2014-12-15,75.66,76.13,72.16,74.45,6362300,74.45
2014-12-08,72.40,77.56,69.66,76.02,4950500,76.02
2014-12-01,73.64,74.00,72.36,72.40,1981200,72.40
2014-11-24,71.52,74.10,70.73,73.68,1777400,73.68
2014-11-17,70.98,72.55,69.86,71.32,3055000,71.32
2014-11-10,71.63,72.08,71.18,71.42,2175500,71.42
2014-11-03,69.93,72.40,69.66,71.60,3536000,71.60
2014-10-27,66.84,70.25,66.31,70.12,2067300,70.12
2014-10-20,64.25,67.08,63.70,67.01,2605500,67.01
2014-10-13,63.01,65.13,58.51,64.52,6105200,64.52
2014-10-06,68.56,68.80,63.29,63.29,3294800,63.29
2014-09-29,67.69,69.50,66.15,68.40,3545500,68.40
2014-09-22,66.70,69.25,65.79,68.36,3665100,68.36
2014-09-15,70.63,70.96,66.35,66.94,6252000,66.94
2014-09-08,72.87,73.58,70.80,70.98,2017900,70.98
2014-09-02,72.06,73.20,71.84,73.13,1961200,73.13
2014-08-25,72.44,72.57,70.86,71.90,1597000,71.90
2014-08-18,70.44,72.29,70.39,72.04,2086200,72.04
2014-08-11,68.50,70.91,68.20,70.07,2325600,70.07
2014-08-04,68.95,69.55,67.57,68.39,2563000,68.39
2014-07-28,72.39,73.25,68.52,68.94,2447300,68.94
2014-07-21,72.50,73.15,71.48,72.62,1992000,72.62
2014-07-14,72.55,73.26,71.31,72.55,2203400,72.55
2014-07-07,73.07,73.42,70.31,72.26,2018100,72.26
2014-06-30,72.43,73.99,71.80,73.57,2891900,73.57
2014-06-23,72.74,73.28,71.76,72.00,3382400,72.00
2014-06-16,66.80,74.69,66.52,72.61,6143800,72.61
2014-06-09,66.70,67.50,66.25,66.82,1885500,66.82
2014-06-02,64.54,67.32,63.49,66.91,2555700,66.91
2014-05-27,64.64,65.82,64.17,64.54,2213500,64.54
2014-05-19,61.27,64.48,61.26,64.30,2038700,64.30
2014-05-12,59.77,61.69,59.56,61.64,3530000,61.64
2014-05-05,61.20,61.98,57.15,59.59,4095400,59.59
2014-04-28,61.84,63.10,59.62,61.56,3366800,61.56
2014-04-21,64.00,65.00,61.56,61.61,3409100,61.61
2014-04-14,61.18,64.23,60.50,64.04,3487200,64.04
2014-04-07,61.20,63.69,59.63,60.50,6197500,60.50
2014-03-31,64.87,66.31,61.10,61.32,4468100,61.32
2014-03-24,67.22,67.48,63.05,64.88,4888300,64.88
2014-03-17,67.89,70.24,66.15,67.14,6762200,67.14
2014-03-10,68.68,68.83,66.63,67.19,2937700,67.19
2014-03-03,68.06,69.42,67.14,68.52,3490000,68.52
2014-02-24,68.54,71.11,67.63,68.63,3979500,68.63
2014-02-18,68.62,69.43,67.55,68.22,3631100,68.22
2014-02-12,64.21,68.49,64.09,68.34,4325500,68.34
