Chlandi2D, "Chlandi plate simulation 2D";
Chlandi3D, "Chlandi plate simulation 3D";
Dood_Harmony_Drawing, "procedural drawing";
Lightpaint, "lightpainter";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
euclid, "Euclidean rhythm generator";
sound2graph, "circular waveform";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
mai_points, "work of masato tsutsui";
planetarium, "work of masato tsutsui";
vibgyor, "work of masato tsutsui";
3dSpirograph,"3d Spirograph";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
fluid_particle_simulation,"fluid particle simulation";
fluid_simulation,"fluid simulation";
particle2GLmultiple,"particle to jit.gl.multiple";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
RuttEtra_Videosynth,"Rutt Etra video synth";
RuttEtra,"another version of Rutt Etra";
shader_overview_v001, "other shaders";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
function_graph, "procedural basis functions graph";
3dextrude, "3D extrusion";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
GLNurbs_sound, "GL Nurbs with sound";
PennyDrops, "ink writer";
