max_messaging, "max message demystified";
list_in_max, "a list overview";
zlgraph_help, "graphic overview of the ZL object";
zl_help, "list overview of the ZL object";
sprintf_help, "format a message of words and numbers";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
coll_tools, "the iter object vs the group object";
FungibleData, "what you can do with lists";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
jit.cellblock, "two-dimensional storage and viewing";
imi.matrix2cell, "copy matrix to a cellblock";
coll2cellblock, "copy a coll into a cellblock";
cellblock2csv, "copy a cellblock into a csv file";
csv2coll, "a simple csv to coll patch";
Ltocoll, "list to coll"; 
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
lh.cycle, "send lists to individual outlets";
lh.pre, "mulitple destination prepender";
dot.reg, "Like zl reg but right outlet bangs when empty";
dot.listinterpolate, "interpolates/extrapolates between two lists of equal length";
dot.listinterpolate4, "interpolates/extrapolates between four lists of equal length";
dot.squeuedlim, "limits the speed of messages passing through for list";
Lqueue, "slow down int or lists";
zsa.dist, "find the closest list";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
f0.l==, "outputs 1 if two lists match";
f0.s==, "outputs 1 if two symbols match";
f0.lchange, "filter out repeated lists";
f0.list_all_zero, "outputs 1 if all numbers in a list are 0";
f0.list_arpeggio, "iterates over a list with a delay";
f0.list_collect, "builds a list of incoming messages";
f0.list_first_nonzero, "output index of first non-zero item in list";
f0.list_num_nonzero, "count number of non-zero items in a list";

