gf, "gesture following";
jit.freenect.grab, "Kinect driver";
2up.jit.centroids, "subpixel-accurate centroids of intensity";
jit.artkmulti,"4 Marker simple ARToolkit plugin";
c74, "iOS interface";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
z.glNav1b, "3d navigation";
z.glNav2b, "3d navigation";
z.wii.glNav_quad, "3D navigation with the Wii";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
p.jit.gl.shader, "a wrapper for GL Shader (Pelado)";
jitter_lighting, "help with lighting (Pelado)";
lighting_with_sketch, "help with lighting in sketch (Pelado)";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
boids2d_jitter, "Boids is a bird flight and animal flock simulator";
jit.boids3d, "Boids is a bird flight and animal flock simulator (3D)";
boidroids-example, "boidroids-example";
boidroids-example2, "boidroids-example";
springoid-example, "simple(and physically inaccurate) spring like simulation";
springoidgrid-example, "similar to the springoid, but in a grid. whacko physics";
springoidgrid3d-example, "springoid 3D (using Nurbs)";
springoidgrid3d-example2, "springoid 3D (using Nurbs)";
box2D, "2D rigid body simulation engine";
msd, "mass springer damper";
msd2D, "mass springer damper 2D";
msd3D, "mass springer damper 3D";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
