simple_triggers, "simple triggering options";
filtering_change, "change to filter out repetitions";
average, "a few patches to calculate the average";
exhibition_tools, "tools to help exhibiting";
smoother_derivitive, "smooth, get speed and acceleration";
tweening, "a variety of equations for smooth transitions";
delta_detect, "detect direction and speed of delta";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
dot.autoscale, "rescales numbers according to auto-detected maximum and minimum values.";
dot.clip, "clips a stream of numbers to a minimum, maximum, or both.";
dot.debounce, "filters multiple messages";
dot.distance,"find distance between a scalar ans a list";
dot.ema, "exponential moving average";
dot.emd, "exponential moving deviation of a stream of numbers";
dot.extrema, "outputs maxima and minima";
dot.median, "outputs median value (cancel noise)";
dot.orient, "to use with magnetometer and accelerometer";
dot.slope, "output the slope between each successive point.";
dot.smooth, "simple sample-averaging filter";
dot.squeuedlim, "limits the speed of messages passing through (a speedlim queued like zl queue)";
dot.wait, "bangs when values are over-threshold for wait time.";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
jb.grid, "snap numerical input to a grid";
jb.pass, "allow a percentage of input to pass through";
jb.change, "separate dynamic and static input";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
speedlim, "limit the speed at which messages can pass through";
Lqueue, "an object to slow data down";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
z.grid, "z.grid quantises the incoming x/y pixel coordinates into new x/y grids";
z.scale, "the scale object, but with a 5th argument that makes sense (for exp or log curves)";
z.zmap, "the zmap object, but with a 5th argument for exp or log curves)";
