loadbangs, "tricks to loadbang properly";
filtering_change, "change to filter out repetitions";
counter_uzi_line, "various methods for counting in max";
spray_cycle_gate, "methods to pass numbers";
moduloo, "usage of modulo %";
max2printer, "print from Max";
network_scanner, "IP on your LAN";
IP_broadcast, "get IP from computers on the network";
shell, "interface to the UNIX shell (printer, scanner)";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
imi.matrix2cell, "copy matrix to cellblock";
imi.matrixset, "record and play a simple matrix";
imi.splitscale, "a mix of the split object and the scale object";
imi.encoder, "reset a rotary encoder after a certain time";
imi.avgmap, "find the average of a sensor then map";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
tweening, "simple tweening";
function_interpolation, "tweening using a function";
randomness, "from basic random to markov chains, stochastic and flocking";
trignonometry, "triangle, circle, degree, radian, É";
vector, "get started with vectors";
vector_practice, "working with vectors";
polar_cartesian, "2d poltocar, 3d cartopol";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
timeline, "easy to use timeline";
dataatintervals, "records any type of data to disk";
LFO-fader, "generate numbers using low frequency oscillation";
CSV2Matrix, "open a CSV into a matrix";
matrixcontrol, "ui to route data and audio signals";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
PattrKitty, "intro to Pattr";
PattrSave, "save and recall data";
Pattr_animation, "use presets to make animation";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
Jitter2Syphon, "basic patch to use Syphon";
netSend, "send video, audio, messages over a local network";
video_output, "send a video matrix through to the firewire output";
asyncread_export, "asyncread export (with antialiasing)";
jitwebimage, "load an image from the web";
jit.gl.hap, "use the hap compression";
 
